project_name,project_url,spec,path,line,violation_count,inspect_result,inspect_priority,inspect_reason
ska-sa-aiokatcp,https://github.com/ska-sa/aiokatcp,Pydocs_ShouldUseStreamWriterCorrectly,/tests/test_connection.py,99,1,False Alarm,Not Started,"The violation is intentional by the developer. The code does call it in the cleanup path, but with try except to handle situations where the connection was already reset or closed unexpectedly"
ska-sa-aiokatcp,https://github.com/ska-sa/aiokatcp,Pydocs_ShouldUseStreamWriterCorrectly,/tests/test_connection.py,285,1,Not Useful,Not Started,"The important object being tested is conn, and they already wait for it. It does not close writer correctly, but would not affect the test in any ways"
ska-sa-aiokatcp,https://github.com/ska-sa/aiokatcp,Pydocs_ShouldUseStreamWriterCorrectly,/tests/test_server.py,200,1,False Alarm,Not Started,"The violation is intentional by the developer. The code does call it in the cleanup path, but with try except to handle situations where the connection was already reset or closed unexpectedly"
akfamily-akshare,https://github.com/akfamily/akshare,InvalidComparisonAnalysis,/akshare/utils/demjson.py,154,1,False Alarm,Not Started,The violation is intentional by the developer. It is trying to detect when two increasingly precise numeric values become indistinguishable under the current numeric/decimal context.
akfamily-akshare,https://github.com/akfamily/akshare,InvalidComparisonAnalysis,/akshare/utils/demjson.py,182,1,False Alarm,Not Started,The violation is intentional by the developer. It is trying to detect when two increasingly precise numeric values become indistinguishable under the current numeric/decimal context.
akfamily-akshare,https://github.com/akfamily/akshare,InvalidComparisonAnalysis,/akshare/utils/demjson.py,214,1,False Alarm,Not Started,The violation is intentional by the developer. It is trying to detect when two increasingly precise numeric values become indistinguishable under the current numeric/decimal context.
KuudoAI-amazon_ads_mcp,https://github.com/KuudoAI/amazon_ads_mcp,RandomMustUseSeed,/src/amazon_ads_mcp/utils/http/retry.py,66,1,True Positive,Low,A fixed seed should be used during unit testing for reproducibility
erikbern-ann-benchmarks,https://github.com/erikbern/ann-benchmarks,InvalidComparisonAnalysis,/test/metrics_test.py,60,1,False Alarm,Not Started,The violation is intentional by the developer as inf is expected in the code for comparison
ApeWorX-ape-fantom,https://github.com/ApeWorX/ape-fantom,ItemInList,/tests/test_integration.py,44,1,True Positive,Middle,actual_lines is used repeatedly in a for loop and duplicates are not important here as it is checking membership
docToolchain-asciidoc-linter,https://github.com/docToolchain/asciidoc-linter,ChangeListWhileIterating,/asciidoc_linter/linter.py,77,1,True Positive,High,The code iterates over self.rules while modifying it
omarkamali-babelvec,https://github.com/omarkamali/babelvec,ItemInList,/src/babelvec/families.py,379,1,True Positive,Middle,WIKIPEDIA_LANGUAGES is used repeatedly in a for loop and duplicates are not important here as it is checking membership
ddoroshev-bazoola,https://github.com/ddoroshev/bazoola,FileClosedAnalysis,/bazoola/storage.py,28,1,Hard to Inspect,Not Started,The developer do have close() implemented for opened file. Cannot locate where it happens without stacktrace
brentley-birthdays-to-slack,https://github.com/brentley/birthdays-to-slack,Flask_NoModifyAfterServe,/tests/conftest.py,14,1,False Alarm,Not Started,"Spec problem. The two parameters are not combined correctly, should not track all possible combinations"
brentley-birthdays-to-slack,https://github.com/brentley/birthdays-to-slack,Flask_NoModifyAfterServe,/tests/conftest.py,15,1,False Alarm,Not Started,"Spec problem. The two parameters are not combined correctly, should not track all possible combinations"
python-discord-bot-core,https://github.com/python-discord/bot-core,RandomMustUseSeed,/pydis_core/utils/cooldown.py,105,1,True Positive,Low,A fixed seed should be used during unit testing for reproducibility
Bynder-bynder-python-sdk,https://github.com/Bynder/bynder-python-sdk,RandomMustUseSeed,/bynder_sdk/oauth2.py,25,1,True Positive,Low,A fixed seed should be used during unit testing for reproducibility
carbonblack-carbon-black-cloud-sdk-python,https://github.com/carbonblack/carbon-black-cloud-sdk-python,HostnamesTerminatesWithSlash,/src/cbc_sdk/connection.py,233,1,True Positive,Middle,The developer removed right / at https://github.com/carbonblack/carbon-black-cloud-sdk-python/blob/develop/src/cbc_sdk/connection.py#L187. It should be kept for URL prefix matching
carbonblack-carbon-black-cloud-sdk-python,https://github.com/carbonblack/carbon-black-cloud-sdk-python,RandomMustUseSeed,/src/tests/unit/platform/test_policies.py,329,1,True Positive,Low,A fixed seed should be used during unit testing for reproducibility
carbonblack-carbon-black-cloud-sdk-python,https://github.com/carbonblack/carbon-black-cloud-sdk-python,RandomMustUseSeed,/src/cbc_sdk/live_response_api.py,846,1,True Positive,Low,A fixed seed should be used during unit testing for reproducibility
carbonblack-carbon-black-cloud-sdk-python,https://github.com/carbonblack/carbon-black-cloud-sdk-python,FileClosedAnalysis,/src/cbc_sdk/base.py,90,1,True Positive,Middle,The swagger_meta_file file is not closed
noahmaier17-Card-Venture-Game-Recruiter-Demo,https://github.com/noahmaier17/Card-Venture-Game-Recruiter-Demo,RandomMustUseSeed,/src/Dinosaur_Venture/entities/enemieses.py,306,1,True Positive,Low,A fixed seed should be used during unit testing for reproducibility
noahmaier17-Card-Venture-Game-Recruiter-Demo,https://github.com/noahmaier17/Card-Venture-Game-Recruiter-Demo,RandomMustUseSeed,/src/Dinosaur_Venture/entities/enemieses.py,55,1,True Positive,Low,A fixed seed should be used during unit testing for reproducibility
noahmaier17-Card-Venture-Game-Recruiter-Demo,https://github.com/noahmaier17/Card-Venture-Game-Recruiter-Demo,RandomMustUseSeed,/src/Dinosaur_Venture/entities/enemieses.py,60,1,True Positive,Low,A fixed seed should be used during unit testing for reproducibility
noahmaier17-Card-Venture-Game-Recruiter-Demo,https://github.com/noahmaier17/Card-Venture-Game-Recruiter-Demo,RandomMustUseSeed,/src/Dinosaur_Venture/entities/enemieses.py,453,1,True Positive,Low,A fixed seed should be used during unit testing for reproducibility
noahmaier17-Card-Venture-Game-Recruiter-Demo,https://github.com/noahmaier17/Card-Venture-Game-Recruiter-Demo,RandomMustUseSeed,/src/Dinosaur_Venture/entities/enemieses.py,395,1,True Positive,Low,A fixed seed should be used during unit testing for reproducibility
noahmaier17-Card-Venture-Game-Recruiter-Demo,https://github.com/noahmaier17/Card-Venture-Game-Recruiter-Demo,RandomMustUseSeed,/src/Dinosaur_Venture/entities/enemieses.py,397,1,True Positive,Low,A fixed seed should be used during unit testing for reproducibility
noahmaier17-Card-Venture-Game-Recruiter-Demo,https://github.com/noahmaier17/Card-Venture-Game-Recruiter-Demo,RandomMustUseSeed,/tests/test_utils/game_setups.py,45,1,True Positive,Low,A fixed seed should be used during unit testing for reproducibility
noahmaier17-Card-Venture-Game-Recruiter-Demo,https://github.com/noahmaier17/Card-Venture-Game-Recruiter-Demo,RandomMustUseSeed,/tests/test_utils/game_setups.py,100,1,True Positive,Low,A fixed seed should be used during unit testing for reproducibility
noahmaier17-Card-Venture-Game-Recruiter-Demo,https://github.com/noahmaier17/Card-Venture-Game-Recruiter-Demo,RandomMustUseSeed,/tests/test_utils/game_setups.py,101,1,True Positive,Low,A fixed seed should be used during unit testing for reproducibility
noahmaier17-Card-Venture-Game-Recruiter-Demo,https://github.com/noahmaier17/Card-Venture-Game-Recruiter-Demo,RandomMustUseSeed,/tests/test_utils/game_setups.py,102,1,True Positive,Low,A fixed seed should be used during unit testing for reproducibility
noahmaier17-Card-Venture-Game-Recruiter-Demo,https://github.com/noahmaier17/Card-Venture-Game-Recruiter-Demo,RandomMustUseSeed,/tests/test_utils/card_tester_class.py,206,1,True Positive,Low,A fixed seed should be used during unit testing for reproducibility
noahmaier17-Card-Venture-Game-Recruiter-Demo,https://github.com/noahmaier17/Card-Venture-Game-Recruiter-Demo,RandomMustUseSeed,/src/Dinosaur_Venture/cards/mechanics/card_location.py,76,1,True Positive,Low,A fixed seed should be used during unit testing for reproducibility
noahmaier17-Card-Venture-Game-Recruiter-Demo,https://github.com/noahmaier17/Card-Venture-Game-Recruiter-Demo,RandomMustUseSeed,/src/Dinosaur_Venture/entities/entity.py,1235,1,True Positive,Low,A fixed seed should be used during unit testing for reproducibility
noahmaier17-Card-Venture-Game-Recruiter-Demo,https://github.com/noahmaier17/Card-Venture-Game-Recruiter-Demo,RandomMustUseSeed,/src/Dinosaur_Venture/entities/entity.py,1220,1,True Positive,Low,A fixed seed should be used during unit testing for reproducibility
noahmaier17-Card-Venture-Game-Recruiter-Demo,https://github.com/noahmaier17/Card-Venture-Game-Recruiter-Demo,RandomMustUseSeed,/src/Dinosaur_Venture/entities/entity.py,1199,1,True Positive,Low,A fixed seed should be used during unit testing for reproducibility
noahmaier17-Card-Venture-Game-Recruiter-Demo,https://github.com/noahmaier17/Card-Venture-Game-Recruiter-Demo,RandomMustUseSeed,/src/Dinosaur_Venture/entities/entity.py,1202,1,True Positive,Low,A fixed seed should be used during unit testing for reproducibility
noahmaier17-Card-Venture-Game-Recruiter-Demo,https://github.com/noahmaier17/Card-Venture-Game-Recruiter-Demo,RandomMustUseSeed,/tests/effects/entity_effects/test_deal_damage.py,40,1,True Positive,Low,A fixed seed should be used during unit testing for reproducibility
noahmaier17-Card-Venture-Game-Recruiter-Demo,https://github.com/noahmaier17/Card-Venture-Game-Recruiter-Demo,RandomMustUseSeed,/tests/effects/entity_effects/test_deal_damage.py,41,1,True Positive,Low,A fixed seed should be used during unit testing for reproducibility
noahmaier17-Card-Venture-Game-Recruiter-Demo,https://github.com/noahmaier17/Card-Venture-Game-Recruiter-Demo,RandomMustUseSeed,/tests/effects/entity_effects/test_deal_damage.py,42,1,True Positive,Low,A fixed seed should be used during unit testing for reproducibility
noahmaier17-Card-Venture-Game-Recruiter-Demo,https://github.com/noahmaier17/Card-Venture-Game-Recruiter-Demo,RandomMustUseSeed,/tests/effects/entity_effects/test_deal_damage.py,44,1,True Positive,Low,A fixed seed should be used during unit testing for reproducibility
noahmaier17-Card-Venture-Game-Recruiter-Demo,https://github.com/noahmaier17/Card-Venture-Game-Recruiter-Demo,RandomMustUseSeed,/tests/effects/entity_effects/test_draw_cards.py,77,1,True Positive,Low,A fixed seed should be used during unit testing for reproducibility
noahmaier17-Card-Venture-Game-Recruiter-Demo,https://github.com/noahmaier17/Card-Venture-Game-Recruiter-Demo,RandomMustUseSeed,/tests/effects/entity_effects/test_gain_a_copy_of_this.py,33,1,True Positive,Low,A fixed seed should be used during unit testing for reproducibility
noahmaier17-Card-Venture-Game-Recruiter-Demo,https://github.com/noahmaier17/Card-Venture-Game-Recruiter-Demo,RandomMustUseSeed,/tests/effects/helper_functions/test_pick_an_enemy.py,22,1,True Positive,Low,A fixed seed should be used during unit testing for reproducibility
noahmaier17-Card-Venture-Game-Recruiter-Demo,https://github.com/noahmaier17/Card-Venture-Game-Recruiter-Demo,RandomMustUseSeed,/tests/effects/helper_functions/test_pick_an_enemy.py,26,1,True Positive,Low,A fixed seed should be used during unit testing for reproducibility
noahmaier17-Card-Venture-Game-Recruiter-Demo,https://github.com/noahmaier17/Card-Venture-Game-Recruiter-Demo,RandomMustUseSeed,/tests/effects/helper_functions/test_pick_an_enemy.py,45,1,True Positive,Low,A fixed seed should be used during unit testing for reproducibility
noahmaier17-Card-Venture-Game-Recruiter-Demo,https://github.com/noahmaier17/Card-Venture-Game-Recruiter-Demo,RandomMustUseSeed,/tests/effects/helper_functions/test_pick_an_enemy.py,49,1,True Positive,Low,A fixed seed should be used during unit testing for reproducibility
noahmaier17-Card-Venture-Game-Recruiter-Demo,https://github.com/noahmaier17/Card-Venture-Game-Recruiter-Demo,StringConcatAnalysis,/src/Dinosaur_Venture/helper.py,1072,1,True Positive,Low,Use .join() would be more efficient according to the DyLin Checker
noahmaier17-Card-Venture-Game-Recruiter-Demo,https://github.com/noahmaier17/Card-Venture-Game-Recruiter-Demo,StringConcatAnalysis,/src/Dinosaur_Venture/helper.py,539,1,True Positive,Low,Use .join() would be more efficient according to the DyLin Checker
noahmaier17-Card-Venture-Game-Recruiter-Demo,https://github.com/noahmaier17/Card-Venture-Game-Recruiter-Demo,StringConcatAnalysis,/src/Dinosaur_Venture/helper.py,542,1,True Positive,Low,Use .join() would be more efficient according to the DyLin Checker
noahmaier17-Card-Venture-Game-Recruiter-Demo,https://github.com/noahmaier17/Card-Venture-Game-Recruiter-Demo,StringConcatAnalysis,/src/Dinosaur_Venture/logging/gameplay_logging.py,85,1,True Positive,Low,Use .join() would be more efficient according to the DyLin Checker
openstack-charm-cinder-backup,https://github.com/openstack/charm-cinder-backup,FileClosedAnalysis,/unit_tests/test_utils.py,41,1,True Positive,Middle,The config file is not closed
imnuman-cloud-orchestrator,https://github.com/imnuman/cloud-orchestrator,RandomMustUseSeed,/brain/adapters/runpod/mock.py,240,1,True Positive,Low,Use .join() would be more efficient according to the DyLin Checker
imnuman-cloud-orchestrator,https://github.com/imnuman/cloud-orchestrator,RandomMustUseSeed,/brain/adapters/runpod/mock.py,241,1,True Positive,Low,Use .join() would be more efficient according to the DyLin Checker
imnuman-cloud-orchestrator,https://github.com/imnuman/cloud-orchestrator,RandomMustUseSeed,/brain/adapters/vast_ai/mock.py,291,1,True Positive,Low,Use .join() would be more efficient according to the DyLin Checker
juspay-code-as-data,https://github.com/juspay/code-as-data,InvalidComparisonAnalysis,/code_as_data/services/query_service.py,351,1,True Positive,Low,Use is rather than == or =! to compare two types
juspay-code-as-data,https://github.com/juspay/code-as-data,InvalidComparisonAnalysis,/code_as_data/services/query_service.py,422,1,True Positive,Low,Use is rather than == or =! to compare two types
apimatic-core-lib-python,https://github.com/apimatic/core-lib-python,InvalidComparisonAnalysis,/apimatic_core/utilities/comparison_helper.py,57,1,True Positive,Low,Use isinstance() rather than type() for a typecheck
apimatic-core-lib-python,https://github.com/apimatic/core-lib-python,InvalidComparisonAnalysis,/apimatic_core/utilities/comparison_helper.py,68,1,True Positive,Low,Use isinstance() rather than type() for a typecheck
apimatic-core-lib-python,https://github.com/apimatic/core-lib-python,InvalidComparisonAnalysis,/apimatic_core/utilities/comparison_helper.py,67,1,True Positive,Low,Use isinstance() rather than type() for a typecheck
apimatic-core-lib-python,https://github.com/apimatic/core-lib-python,InvalidComparisonAnalysis,/apimatic_core/utilities/comparison_helper.py,58,1,True Positive,Low,Use isinstance() rather than type() for a typecheck
apimatic-core-lib-python,https://github.com/apimatic/core-lib-python,InvalidComparisonAnalysis,/apimatic_core/utilities/comparison_helper.py,63,1,True Positive,Low,Use isinstance() rather than type() for a typecheck
apimatic-core-lib-python,https://github.com/apimatic/core-lib-python,FileClosedAnalysis,/tests/apimatic_core/base.py,127,1,True Positive,Middle,The file opened in the test is not closed explicitly
nansencenter-DAPPER,https://github.com/nansencenter/DAPPER,InvalidComparisonAnalysis,/dapper/tools/rounding.py,86,1,False Alarm,Not Started,The violation is intentional by the developer. The comment provided by the developer indicate they are awared of this issue and has handle it in their code
nansencenter-DAPPER,https://github.com/nansencenter/DAPPER,FileClosedAnalysis,/dapper/dpr_config.py,33,1,True Positive,Middle,The config file loaded is not closed during the execution.
NewFuture-DDNS,https://github.com/NewFuture/DDNS,RandomMustUseSeed,/tests/test_provider_callback.py,311,1,True Positive,Low,A fixed seed should be used during unit testing for reproducibility
NewFuture-DDNS,https://github.com/NewFuture/DDNS,RandomMustUseSeed,/tests/test_util_http.py,58,1,True Positive,Low,A fixed seed should be used during unit testing for reproducibility
dicomsort-dicomsorter,https://github.com/dicomsort/dicomsorter,RandomMustUseSeed,/tests/factories.py,59,1,True Positive,Low,A fixed seed should be used during unit testing for reproducibility
dicomsort-dicomsorter,https://github.com/dicomsort/dicomsorter,ChangeListWhileIterating,/dicomsorter/dicomsorter.py,47,1,False Alarm,Not Started,Issues with the tool. The list is not being modified here.
powderflask-django-fmft,https://github.com/powderflask/django-fmft,RandomMustUseSeed,/tests/test_fmft.py,67,1,True Positive,Low,A fixed seed should be used during unit testing for reproducibility
Domain-Connect-DomainConnectApplyZone,https://github.com/Domain-Connect/DomainConnectApplyZone,Pydocs_NoReadAfterAccess,/domainconnectzone/DomainConnectImpl.py,1318,1,True Positive,Middle,"Between the check and the open(), the file could theoretically be replaced or permissions changed."
Carrington-dev-dotzen,https://github.com/Carrington-dev/dotzen,InvalidComparisonAnalysis,/dotzen/dotzen.py,481,1,True Positive,Low,Use is rather than == or =! to compare two types
itsdawei-dpvis,https://github.com/itsdawei/dpvis,InvalidComparisonAnalysis,/dp/_dp_array.py,62,1,True Positive,Low,Use is rather than == or =! to compare two types
itsdawei-dpvis,https://github.com/itsdawei/dpvis,ItemInList,/tests/index_converter_test.py,33,1,True Positive,Middle,indices is used repeatedly in a for loop and duplicates are not important here as it is checking membership
nedimcanulusoy-Driftklar,https://github.com/nedimcanulusoy/Driftklar,Pydocs_MustShutdownBeforeCloseSocket,/tests/test_helpers.py,18,1,Not Useful,Not Started,This test use the socket for simple bind checks. shutdown() is not necessary here as no data is sent.
repole-drowsy,https://github.com/repole/drowsy,InvalidComparisonAnalysis,/drowsy/query_builder.py,1332,1,True Positive,Low,Use is rather than == or =! to compare two types
repole-drowsy,https://github.com/repole/drowsy,InvalidComparisonAnalysis,/drowsy/query_builder.py,1348,1,True Positive,Low,Use is rather than == or =! to compare two types
repole-drowsy,https://github.com/repole/drowsy,StringConcatAnalysis,/drowsy/fields.py,412,1,True Positive,Low,Use .join() would be more efficient according to the DyLin Checker
repole-drowsy,https://github.com/repole/drowsy,StringConcatAnalysis,/drowsy/fields.py,416,1,True Positive,Low,Use .join() would be more efficient according to the DyLin Checker
repole-drowsy,https://github.com/repole/drowsy,StringConcatAnalysis,/drowsy/fields.py,38,1,True Positive,Low,Use .join() would be more efficient according to the DyLin Checker
repole-drowsy,https://github.com/repole/drowsy,StringConcatAnalysis,/drowsy/fields.py,36,1,True Positive,Low,Use .join() would be more efficient according to the DyLin Checker
lareferencia-dspace-stats-collector,https://github.com/lareferencia/dspace-stats-collector,RandomMustUseSeed,/dspace_stats_collector/matomooutput.py,120,1,True Positive,Low,A fixed seed should be used during unit testing for reproducibility
MSU-DHI-Lab-echotrace-whispering-objects,https://github.com/MSU-DHI-Lab/echotrace-whispering-objects,Flask_NoModifyAfterServe,/hub/dashboard_app.py,860,1,False Alarm,Not Started,"Spec problem. The two parameters are not combined correctly, should not track all possible combinations"
MSU-DHI-Lab-echotrace-whispering-objects,https://github.com/MSU-DHI-Lab/echotrace-whispering-objects,Flask_NoModifyAfterServe,/hub/dashboard_app.py,861,1,False Alarm,Not Started,"Spec problem. The two parameters are not combined correctly, should not track all possible combinations"
MSU-DHI-Lab-echotrace-whispering-objects,https://github.com/MSU-DHI-Lab/echotrace-whispering-objects,Flask_NoModifyAfterServe,/hub/dashboard_app.py,872,1,False Alarm,Not Started,"Spec problem. The two parameters are not combined correctly, should not track all possible combinations"
JackOgaja-eTIOBench,https://github.com/JackOgaja/eTIOBench,RandomMustUseSeed,/tdiobench/tests/test_utils.py,239,1,True Positive,Low,A fixed seed should be used during unit testing for reproducibility
JackOgaja-eTIOBench,https://github.com/JackOgaja/eTIOBench,RandomMustUseSeed,/tdiobench/tests/test_utils.py,240,1,True Positive,Low,A fixed seed should be used during unit testing for reproducibility
JackOgaja-eTIOBench,https://github.com/JackOgaja/eTIOBench,RandomMustUseSeed,/tdiobench/tests/test_utils.py,241,1,True Positive,Low,A fixed seed should be used during unit testing for reproducibility
JackOgaja-eTIOBench,https://github.com/JackOgaja/eTIOBench,RandomMustUseSeed,/tdiobench/tests/test_utils.py,157,1,True Positive,Low,A fixed seed should be used during unit testing for reproducibility
JackOgaja-eTIOBench,https://github.com/JackOgaja/eTIOBench,RandomMustUseSeed,/tdiobench/tests/test_utils.py,158,1,True Positive,Low,A fixed seed should be used during unit testing for reproducibility
JackOgaja-eTIOBench,https://github.com/JackOgaja/eTIOBench,RandomMustUseSeed,/tdiobench/tests/test_utils.py,159,1,True Positive,Low,A fixed seed should be used during unit testing for reproducibility
uberfastman-fantasy-football-metrics-weekly-report,https://github.com/uberfastman/fantasy-football-metrics-weekly-report,PyDocs_MustSortBeforeGroupBy,/ffmwr/features/bad_boy.py,221,1,False Alarm,Not Started,"The spec has a bug. It monitors sort(), but not sorted() which is used here"
uberfastman-fantasy-football-metrics-weekly-report,https://github.com/uberfastman/fantasy-football-metrics-weekly-report,InPlaceSortAnalysis,/ffmwr/features/bad_boy.py,221,1,True Positive,Middle,In place sort can be used here as arrests is not used after the sorted code line
uberfastman-fantasy-football-metrics-weekly-report,https://github.com/uberfastman/fantasy-football-metrics-weekly-report,InPlaceSortAnalysis,/ffmwr/features/beef.py,160,1,False Alarm,Not Started,score.items cannot be sorted in place as it is not mutatable
munlicode-fasttext-community,https://github.com/munlicode/fasttext-community,RandomMustUseSeed,/python/fasttext_module/fasttext/tests/helpers.py,57,1,True Positive,Low,A fixed seed should be used during unit testing for reproducibility
munlicode-fasttext-community,https://github.com/munlicode/fasttext-community,RandomMustUseSeed,/python/fasttext_module/fasttext/tests/helpers.py,50,1,True Positive,Low,A fixed seed should be used during unit testing for reproducibility
munlicode-fasttext-community,https://github.com/munlicode/fasttext-community,RandomMustUseSeed,/python/fasttext_module/fasttext/tests/helpers.py,91,1,True Positive,Low,A fixed seed should be used during unit testing for reproducibility
munlicode-fasttext-community,https://github.com/munlicode/fasttext-community,RandomMustUseSeed,/python/fasttext_module/fasttext/tests/helpers.py,93,1,True Positive,Low,A fixed seed should be used during unit testing for reproducibility
munlicode-fasttext-community,https://github.com/munlicode/fasttext-community,RandomMustUseSeed,/python/fasttext_module/fasttext/tests/helpers.py,44,1,True Positive,Low,A fixed seed should be used during unit testing for reproducibility
munlicode-fasttext-community,https://github.com/munlicode/fasttext-community,InvalidComparisonAnalysis,/python/fasttext_module/fasttext/FastText.py,422,1,True Positive,Low,Use isinstance() rather than type() for a typecheck
munlicode-fasttext-community,https://github.com/munlicode/fasttext-community,InvalidComparisonAnalysis,/python/fasttext_module/fasttext/FastText.py,302,1,True Positive,Low,Use isinstance() rather than type() for a typecheck
munlicode-fasttext-community,https://github.com/munlicode/fasttext-community,InvalidComparisonAnalysis,/python/fasttext_module/fasttext/FastText.py,224,1,True Positive,Low,Use isinstance() rather than type() for a typecheck
munlicode-fasttext-community,https://github.com/munlicode/fasttext-community,StringConcatAnalysis,/python/fasttext_module/fasttext/tests/helpers.py,49,1,True Positive,Low,Use .join() would be more efficient according to the DyLin Checker
0-CYBERDYNE-SYSTEMS-0-FF-Terminal-Skills,https://github.com/0-CYBERDYNE-SYSTEMS-0/FF-Terminal-Skills,Flask_NoModifyAfterServe,/tests/test_app.py,27,1,False Alarm,Not Started,"Spec problem. The two parameters are not combined correctly, should not track all possible combinations"
djeada-Flask-Minimal,https://github.com/djeada/Flask-Minimal,Flask_NoModifyAfterServe,/tests/conftest.py,9,1,False Alarm,Not Started,"Spec problem. The two parameters are not combined correctly, should not track all possible combinations"
4Catalyzer-flask-resty,https://github.com/4Catalyzer/flask-resty,Flask_NoModifyAfterServe,/tests/conftest.py,22,1,False Alarm,Not Started,"Spec problem. The two parameters are not combined correctly, should not track all possible combinations"
4Catalyzer-flask-resty,https://github.com/4Catalyzer/flask-resty,Flask_NoModifyAfterServe,/tests/conftest.py,27,1,False Alarm,Not Started,"Spec problem. The two parameters are not combined correctly, should not track all possible combinations"
4Catalyzer-flask-resty,https://github.com/4Catalyzer/flask-resty,Flask_NoModifyAfterServe,/tests/test_view_errors.py,240,1,False Alarm,Not Started,"Spec problem. The two parameters are not combined correctly, should not track all possible combinations"
4Catalyzer-flask-resty,https://github.com/4Catalyzer/flask-resty,Flask_NoModifyAfterServe,/tests/test_view_errors.py,241,1,False Alarm,Not Started,"Spec problem. The two parameters are not combined correctly, should not track all possible combinations"
jugmac00-flask-reuploaded,https://github.com/jugmac00/flask-reuploaded,Flask_NoModifyAfterServe,/tests/test_autoserve.py,60,1,False Alarm,Not Started,"Spec problem. The two parameters are not combined correctly, should not track all possible combinations"
jugmac00-flask-reuploaded,https://github.com/jugmac00/flask-reuploaded,Flask_NoModifyAfterServe,/tests/test_autoserve.py,61,1,False Alarm,Not Started,"Spec problem. The two parameters are not combined correctly, should not track all possible combinations"
jugmac00-flask-reuploaded,https://github.com/jugmac00/flask-reuploaded,Flask_NoModifyAfterServe,/tests/test_autoserve.py,62,1,False Alarm,Not Started,"Spec problem. The two parameters are not combined correctly, should not track all possible combinations"
jugmac00-flask-reuploaded,https://github.com/jugmac00/flask-reuploaded,Flask_NoModifyAfterServe,/tests/test_autoserve.py,89,1,False Alarm,Not Started,"Spec problem. The two parameters are not combined correctly, should not track all possible combinations"
jugmac00-flask-reuploaded,https://github.com/jugmac00/flask-reuploaded,Flask_NoModifyAfterServe,/tests/test_autoserve.py,90,1,False Alarm,Not Started,"Spec problem. The two parameters are not combined correctly, should not track all possible combinations"
jugmac00-flask-reuploaded,https://github.com/jugmac00/flask-reuploaded,Flask_NoModifyAfterServe,/tests/test_autoserve.py,91,1,False Alarm,Not Started,"Spec problem. The two parameters are not combined correctly, should not track all possible combinations"
